business_name,surgeon_name,qualifications,procedures,rating,review_count,street,city,state,primary_location,country,phone,phone_original,website,category,google_maps_url
Sydney Gut Clinic,Sydney Gut Clinic,,,4.5,60,Suite 1 Level 4/15 Bowden St,Alexandria,NSW,Other,AU,+61291312111,+61 2 9131 2111,http://sydneygutclinic.com/,Gastroenterologist,https://www.google.com/maps/search/?api=1&query=Sydney%20Gut%20Clinic&query_place_id=ChIJq6rGSMixEmsRLJtB96S-bQQ
Precision Upper GI Surgery - Dr Manjunath Siddaiah-Subramanya / Dr Manju,Precision Upper GI Surgery - Dr Manjunath Siddaiah-Subramanya / Dr Manju,,,4.9,19,Suite 101/68 Eldridge Rd,Bankstown,NSW,Sydney,AU,+61297932170,+61 2 9793 2170,https://precisionuppergisurgery.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Precision%20Upper%20GI%20Surgery%20-%20Dr%20Manjunath%20Siddaiah-Subramanya%20%2F%20Dr%20Manju&query_place_id=ChIJVxKRlke_EmsRo4ssECWLSBw
Hills Weight Loss and Reflux Clinic,Hills Weight Loss and Reflux Clinic,,general-bariatric,1.5,2,"The Atlas Norwest, Suite 508, Level 5, 203/8 Brookhollow Ave",Baulkham Hills,NSW,Other,AU,+61456081547,+61 456 081 547,https://hillsinnerhealth.com.au/,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Hills%20Weight%20Loss%20and%20Reflux%20Clinic&query_place_id=ChIJ8UnN4XahEmsRrk1y7ZuAWgA
Dr Michael Devadas,Michael Devadas,Dr,,4.6,19,"Norwest Hospital, Green Lift, Suite C202/9 Norbrik Dr",Baulkham Hills,NSW,Other,AU,(013) 009 36875,+61 1300 936 875,http://drmichaeldevadas.com/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Michael%20Devadas&query_place_id=ChIJ0cW2tuWhEmsR3QM1FLeRx7k
Dr Gavin Sandercoe,Gavin Sandercoe,Dr,,4.9,85,10 Norbrik Dr,Bella Vista,NSW,Sydney,AU,(013) 001 12358,+61 1300 112 358,http://www.drgavinsandercoe.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Gavin%20Sandercoe&query_place_id=ChIJL0Ao86qYEmsR6dPn38UHp1M
Dr Faizur Reza,Faizur Reza,Dr,,5,70,306/10 Norbrik Dr,Bella Vista,NSW,Sydney,AU,(013) 001 81010,+61 1300 181 010,https://yhmo.xyz/business/dr-faizur-reza-b0bqgj,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Faizur%20Reza&query_place_id=ChIJedtdzhmZEmsR2j889dQuLMg
Dr John Ozmen | General & Upper-GI Surgeon,John Ozmen | General & Upper-GI Surgeon,Dr,,5,46,Unit 101/9 Norbrik Dr,Bella Vista,NSW,Sydney,AU,+61280394548,+61 2 8039 4548,https://drozmen.com.au/,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20John%20Ozmen%20%7C%20General%20%26%20Upper-GI%20Surgeon&query_place_id=ChIJIfX7mwCiEmsRbBmM_SbmK2M
Breast & Body Clinic - Dr Michael Yunaev - Bella Vista,Breast & Body Clinic - Dr Michael Yunaev - Bella Vista,,,5,3,"Medical Centre, Norwest Private Hospital/9 Norbrik Dr",Bella Vista,NSW,Sydney,AU,+61298197449,+61 2 9819 7449,https://www.bbclinic.com.au/,Surgeon,https://www.google.com/maps/search/?api=1&query=Breast%20%26%20Body%20Clinic%20-%20Dr%20Michael%20Yunaev%20-%20Bella%20Vista&query_place_id=ChIJ1cWu9WejEmsRkce5pc7-1JU
Dr Eddy Dona,Eddy Dona,Dr,,4.8,291,Suite 413/29-31 Lexington Dr,Bella Vista,NSW,Sydney,AU,(013) 003 73662,+61 1300 373 662,http://www.drdonaplasticsurgery.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Eddy%20Dona&query_place_id=ChIJDWY8F1GfEmsRQNDQ1LqteVk
Norwest GI,Norwest GI,,,5,2,10 Norbrik Dr,Bella Vista,NSW,Sydney,AU,+61298997322,+61 2 9899 7322,http://norwestgi.com.au/contact-us/latest-news/,Surgeon,https://www.google.com/maps/search/?api=1&query=Norwest%20GI&query_place_id=ChIJ__8_jaqYEmsRVaj8bmBs_Dk
