business_name,surgeon_name,qualifications,procedures,rating,review_count,street,city,state,primary_location,country,phone,phone_original,website,category,google_maps_url,years_experience,estimated_procedures,slug,meta_title,meta_description,priority_score,tier,location_display
Medmate - Your Online Home For Healthcare 24/7,Medmate - Your Online Home For Healthcare 24/7,,,4.5,1490,44 Lakeview Dr,Scoresby,VIC,Other,AU,(013) 008 58909,+61 1300 858 909,https://medmate.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Medmate%20-%20Your%20Online%20Home%20For%20Healthcare%2024%2F7&query_place_id=ChIJtaAP5Q5B1moRYopUN57ggUE,15,3375,medmate-your-online-home-for-healthcare-247-scoresby,Medmate - Your Online Home For Healthcare 24/7 - Bariatric Surgeon Scoresby | Gastric Sleeve & Bypass,"Medmate - Your Online Home For Healthcare 24/7 is an experienced bariatric surgeon in Scoresby with 15+ years experience. Rating: 4.5 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",10057.50,1,"Scoresby, VIC"
CORE Powerfoods,CORE Powerfoods,,,4.7,1096,15 Lipton Dr,Thomastown,VIC,Other,AU,(013) 001 33728,+61 1300 133 728,http://www.corepowerfoods.com/,Food manufacturer,https://www.google.com/maps/search/?api=1&query=CORE%20Powerfoods&query_place_id=ChIJeU78bVZe1moRe7fs9NcsPqY,15,3375,core-powerfoods-thomastown,CORE Powerfoods - Bariatric Surgeon Thomastown | Gastric Sleeve & Bypass,"CORE Powerfoods is an experienced bariatric surgeon in Thomastown with 15+ years experience. Rating: 4.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",7726.80,1,"Thomastown, VIC"
Qualitas Medical Practice Clayton,Qualitas Medical Practice Clayton,,,4.7,1083,"Monash House, 271 Clayton Rd",Clayton,VIC,Melbourne,AU,+61395448333,+61 3 9544 8333,https://qualitasmedical.com.au/clayton,Medical Center,https://www.google.com/maps/search/?api=1&query=Qualitas%20Medical%20Practice%20Clayton&query_place_id=ChIJ5dFLoyBr1moRW19mSXGAcok,15,3375,qualitas-medical-practice-clayton-clayton,Qualitas Medical Practice Clayton - Bariatric Surgeon Clayton | Gastric Sleeve & Bypass,"Qualitas Medical Practice Clayton is an experienced bariatric surgeon in Clayton with 15+ years experience. Rating: 4.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",7635.15,1,"Clayton, VIC"
Qualitas Medical Practice Bentleigh East (formerly Centre Road Medical Centre),Qualitas Medical Practice Bentleigh East,,,4.4,867,868 Centre Rd,Bentleigh East,VIC,Other,AU,+61395637766,+61 3 9563 7766,https://qualitashealth.com.au/our-practices/centre-road-medical-centre/,Medical Center,https://www.google.com/maps/search/?api=1&query=Qualitas%20Medical%20Practice%20Bentleigh%20East%20(formerly%20Centre%20Road%20Medical%20Centre)&query_place_id=ChIJG-tZUr5r1moR-Rly0sXBdpY,15,3375,qualitas-medical-practice-bentleigh-east-bentleigh-east,Qualitas Medical Practice Bentleigh East - Bariatric Surgeon Bentleigh East | Gastric Sleeve & Bypass,"Qualitas Medical Practice Bentleigh East is an experienced bariatric surgeon in Bentleigh East with 15+ years experience. Rating: 4.4 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",5722.20,1,"Bentleigh East, VIC"
Northend Medical,Northend Medical,,,4,804,48-50 Childs Rd,Epping,VIC,Other,AU,+61394088800,+61 3 9408 8800,http://www.northendmedical.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Northend%20Medical&query_place_id=ChIJpQdb7N1O1moRv7CRV-B0930,15,3375,northend-medical-epping,Northend Medical - Bariatric Surgeon Epping | Gastric Sleeve & Bypass,"Northend Medical is an experienced bariatric surgeon in Epping with 15+ years experience. Rating: 4.0 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",4824.00,1,"Epping, VIC"
Qualitas Medical Practice Rowville,Qualitas Medical Practice Rowville,,,3.7,864,1/1100 Wellington Rd,Rowville,VIC,Other,AU,+61397557807,+61 3 9755 7807,https://qualitashealth.com.au/our-practices/qmprowville/,Medical Center,https://www.google.com/maps/search/?api=1&query=Qualitas%20Medical%20Practice%20Rowville&query_place_id=ChIJiZKwIoo91moRTAMK9rES28Q,15,3375,qualitas-medical-practice-rowville-rowville,Qualitas Medical Practice Rowville - Bariatric Surgeon Rowville | Gastric Sleeve & Bypass,"Qualitas Medical Practice Rowville is an experienced bariatric surgeon in Rowville with 15+ years experience. Rating: 3.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",4795.20,1,"Rowville, VIC"
The Alfred,The Alfred,,,3.8,841,55 Commercial Rd,Melbourne,VIC,Melbourne,AU,+61390762000,+61 3 9076 2000,http://www.alfredhealth.org.au/the-alfred,General hospital,https://www.google.com/maps/search/?api=1&query=The%20Alfred&query_place_id=ChIJYeYFDRho1moRUF8wBXZWBA8,15,3375,the-alfred-melbourne,The Alfred - Bariatric Surgeon Melbourne | Gastric Sleeve & Bypass,"The Alfred is an experienced bariatric surgeon in Melbourne with 15+ years experience. Rating: 3.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",4793.70,1,"Melbourne, VIC"
Surrey Hills Medical Centre,Surrey Hills Medical Centre,,,4.8,640,174 Union Rd,Surrey Hills,VIC,Other,AU,+61398361366,+61 3 9836 1366,http://www.shmc.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Surrey%20Hills%20Medical%20Centre&query_place_id=ChIJL3O0wuBA1moRpfUHlgnLIjU,15,3375,surrey-hills-medical-centre-surrey-hills,Surrey Hills Medical Centre - Bariatric Surgeon Surrey Hills | Gastric Sleeve & Bypass,"Surrey Hills Medical Centre is an experienced bariatric surgeon in Surrey Hills with 15+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",4608.00,1,"Surrey Hills, VIC"
Moonee Valley Specialist Centre,Moonee Valley Specialist Centre,,,4.9,617,1003 Mt Alexander Rd,Essendon,VIC,Other,AU,+61393720372,+61 3 9372 0372,http://www.mvscentre.com.au/?utm_source=local&utm_medium=organic&utm_campaign=gmb,Gastroenterologist,https://www.google.com/maps/search/?api=1&query=Moonee%20Valley%20Specialist%20Centre&query_place_id=ChIJb9hULItc1moRujKaU217JEw,15,3375,moonee-valley-specialist-centre-essendon,Moonee Valley Specialist Centre - Bariatric Surgeon Essendon | Gastric Sleeve & Bypass,"Moonee Valley Specialist Centre is an experienced bariatric surgeon in Essendon with 15+ years experience. Rating: 4.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",4534.95,1,"Essendon, VIC"
Waverley General Practice,Waverley General Practice,,,4.8,544,370 Blackburn Rd,Glen Waverley,VIC,Melbourne,AU,+61398028155,+61 3 9802 8155,http://www.waverleygp.com.au/,Medical Center,https://www.google.com/maps/search/?api=1&query=Waverley%20General%20Practice&query_place_id=ChIJfdRPgfo_1moRrvHkFY0HQLg,15,3375,waverley-general-practice-glen-waverley,Waverley General Practice - Bariatric Surgeon Glen Waverley | Gastric Sleeve & Bypass,"Waverley General Practice is an experienced bariatric surgeon in Glen Waverley with 15+ years experience. Rating: 4.8 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",3916.80,1,"Glen Waverley, VIC"
Mooroolbark Medical Centre,Mooroolbark Medical Centre,,,4.7,539,19 Manchester Rd,Mooroolbark,VIC,Other,AU,+61388035700,+61 3 8803 5700,https://qualitashealth.com.au/our-practices/mooroolbark-medical-centre/,General practitioner,https://www.google.com/maps/search/?api=1&query=Mooroolbark%20Medical%20Centre&query_place_id=ChIJMTtKQhww1moRx0Xs-oa7rEA,15,3375,mooroolbark-medical-centre-mooroolbark,Mooroolbark Medical Centre - Bariatric Surgeon Mooroolbark | Gastric Sleeve & Bypass,"Mooroolbark Medical Centre is an experienced bariatric surgeon in Mooroolbark with 15+ years experience. Rating: 4.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",3799.95,1,"Mooroolbark, VIC"
The Greville Clinic South Yarra,The Greville Clinic South Yarra,,,4.9,507,Shop 1/238 Toorak Rd,South Yarra,VIC,Other,AU,+61398242634,+61 3 9824 2634,https://thegrevilleclinic.com.au/,Skin care clinic,https://www.google.com/maps/search/?api=1&query=The%20Greville%20Clinic%20South%20Yarra&query_place_id=ChIJ3f6iFyVo1moROe_4BGbHe6g,15,3375,the-greville-clinic-south-yarra-south-yarra,The Greville Clinic South Yarra - Bariatric Surgeon South Yarra | Gastric Sleeve & Bypass,"The Greville Clinic South Yarra is an experienced bariatric surgeon in South Yarra with 15+ years experience. Rating: 4.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",3726.45,1,"South Yarra, VIC"
Medical Centre Frankston,Medical Centre Frankston,,,4.7,518,54/56 Cranbourne Rd,Frankston,VIC,Melbourne,AU,+61397832445,+61 3 9783 2445,https://familydoctor.com.au/medicalcentrefrankston/,Medical Center,https://www.google.com/maps/search/?api=1&query=Medical%20Centre%20Frankston&query_place_id=ChIJfVyVcdF01moRCu5WeTQzSck,15,3375,medical-centre-frankston-frankston,Medical Centre Frankston - Bariatric Surgeon Frankston | Gastric Sleeve & Bypass,"Medical Centre Frankston is an experienced bariatric surgeon in Frankston with 15+ years experience. Rating: 4.7 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",3651.90,1,"Frankston, VIC"
Sydney Plastic Surgeon - Dr Ellis Choy,Sydney Plastic Surgeon - Dr Ellis Choy,,,4.9,475,Suite 2B Level 2/115 Sailors Bay Rd,Northbridge,NSW,Other,AU,+61289629388,+61 2 8962 9388,https://drellischoy.com.au/,Plastic surgeon,https://www.google.com/maps/search/?api=1&query=Sydney%20Plastic%20Surgeon%20-%20Dr%20Ellis%20Choy&query_place_id=ChIJ43PPZcquEmsReiK4bABKnqY,15,3375,sydney-plastic-surgeon-dr-ellis-choy-northbridge,Sydney Plastic Surgeon - Dr Ellis Choy - Bariatric Surgeon Northbridge | Gastric Sleeve & Bypass,"Sydney Plastic Surgeon - Dr Ellis Choy is an experienced bariatric surgeon in Northbridge with 15+ years experience. Rating: 4.9 stars. Book your consultation for gastric sleeve, bypass, or band surgery.",3491.25,1,"Northbridge, NSW"
