title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url
Dr Amitabha Das,,0,"Specialists Consulting Room, 42 Parkside Cres",Campbelltown,New South Wales,AU,https://www.reshapeweightloss.com.au/,+61 2 9601 4000,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Amitabha%20Das&query_place_id=ChIJmT5wXy7vEmsRKO2i9INqHpM
Dr. Mark Magdy,5,109,"Suite 30, Level 2/20-24 Gibbs St",Miranda,New South Wales,AU,http://drmarkmagdy.com.au/,+61 1300 376 243,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Mark%20Magdy&query_place_id=ChIJXx9aKs25EmsRST6j-im3L6Y
Nepean Weight loss Surgery,4.8,18,40 Colless St,Penrith,New South Wales,AU,http://www.nepeanweightloss.com.au/,+61 2 4721 7533,Surgeon,https://www.google.com/maps/search/?api=1&query=Nepean%20Weight%20loss%20Surgery&query_place_id=ChIJX7rRPIuFEmsR-YlHRFE0Its
Dr Roy Hopkins - Upper GI & Bariatric Surgeon,5,18,"St George Private Hospital, Suite 14A, Level 5/1 South St",Kogarah,New South Wales,AU,https://www.sydneyuppergi.com.au/,+61 2 9188 4550,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Roy%20Hopkins%20-%20Upper%20GI%20%26%20Bariatric%20Surgeon&query_place_id=ChIJLeOeOZG5EmsRbQQUsKia43U
Dr Edward Tong | Campbelltown,1,1,Suite 223 Level 2/4 Hyde Parade,Campbelltown,New South Wales,AU,https://dredwardtong.com/,+61 2 9057 6430,Surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Edward%20Tong%20%7C%20Campbelltown&query_place_id=ChIJSzKX8ybvEmsRe3yhiFwmJtU
Dr. Khalid Ahmed,,0,Unit 20/13 Digitaria Dr,Gledswood Hills,New South Wales,AU,http://dr-khalidahmed.online/,+61 493 557 733,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Dr.%20Khalid%20Ahmed&query_place_id=ChIJ20WH88XtEmsRtPjk4zlKzTI
Northern Beaches Bariatric Surgery,5,6,"Suite 24, Building 7/49 Frenchs Forest Rd E",Frenchs Forest,New South Wales,AU,http://www.northernbeachesbariatricsurgery.com.au/,+61 2 9126 8963,Weight loss service,https://www.google.com/maps/search/?api=1&query=Northern%20Beaches%20Bariatric%20Surgery&query_place_id=ChIJkc4OMwurEmsRmaCxUdu1fZE
St George Obesity Surgery,5,29,"Suite 18 5/1 South St, St George Private Hospital",Kogarah,NSW,AU,http://www.stgeorgeobesitysurgery.com.au/,+61 2 9587 8813,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=St%20George%20Obesity%20Surgery&query_place_id=ChIJSQxOef-5EmsR-QmVp2LtrZk
Martin Surgery,4.8,82,Suite 2/3-5 Everton Rd,Strathfield,New South Wales,AU,http://www.martinsurgery.com.au/david_martin.html,+61 2 9747 6166,Surgeon,https://www.google.com/maps/search/?api=1&query=Martin%20Surgery&query_place_id=ChIJP4epxNm6EmsRt7TOBTosm-s
Sydney Sleeve Surgery,5,3,"Parkway San Clinic, Suite G12/172 Fox Valley Rd",Wahroonga,New South Wales,AU,https://sydneysleevesurgery.com.au/,+61 2 9980 6865,Specialized clinic,https://www.google.com/maps/search/?api=1&query=Sydney%20Sleeve%20Surgery&query_place_id=ChIJY6Z2iKynEmsRuvTfu0n8qT4
Dr Clement Tsang,4.6,34,Level 6 29/31 Dora St,Hurstville,New South Wales,AU,https://obesitycentre.com.au/,+61 2 9221 3919,Gastrointestinal surgeon,https://www.google.com/maps/search/?api=1&query=Dr%20Clement%20Tsang&query_place_id=ChIJLWTNEaK5EmsRwVLI4OFolhA
Advanced Surgicare Sydney,5,122,"St George Private Specialist Consulting Suites (entrance via, 131 Princes Highway, Level 5 Suites 501/502 South St",Kogarah,NSW,AU,https://www.advancedobesitysurgery.com.au/?utm_source=google&utm_medium=organic&utm_campaign=google-my-business-kog&utm_term=googlemybusinesskoga,+61 1300 551 533,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Advanced%20Surgicare%20Sydney&query_place_id=ChIJjUgTFeS5EmsRTvAywL-3jjw
Dr Philip Le Page,4.2,10,"Suite 3, Ground Floor/1 Centennial Dr",Campbelltown,New South Wales,AU,http://www.drlepage.com.au/,+61 2 9126 8963,Specialized clinic,https://www.google.com/maps/search/?api=1&query=Dr%20Philip%20Le%20Page&query_place_id=ChIJ6ZzsTarvEmsRlPNuHkom7VA
Sydney Bariatric Clinic,4.6,51,"Westmead Specialist Centre, 9/16-18 Mons Rd",Westmead,New South Wales,AU,https://sydneybariatricclinic.com/,+61 2 9687 7019,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Sydney%20Bariatric%20Clinic&query_place_id=ChIJ6Q8o3u2iEmsRRxdQwo8KonY
Sydney Bariatric Clinic,,0,Hilder St,Elderslie,New South Wales,AU,https://sydneybariatricclinic.com/,+61 2 9687 7019,Bariatric surgeon,https://www.google.com/maps/search/?api=1&query=Sydney%20Bariatric%20Clinic&query_place_id=ChIJka5i4IPxEmsRZpjrPcN0hhc
